n,min_range,hold_bars,net_return,profit_factor,sharpe,max_dd,n_trades,cost_mult,is_center
4,0.00015,16,-0.17255671551626628,0.9187113368280271,-2.4949968418334723,0.1733131838000359,2324,1.0,False
4,0.00025,16,-0.17411361972989858,0.9179111090541943,-2.5205556127713784,0.17486866465489478,2324,1.0,False
4,0.0002,16,-0.1754656498004462,0.9172460032508549,-2.5418380855510505,0.1762194586674717,2324,1.0,False
8,0.00025,16,-0.18424423442126991,0.9135451037925764,-2.6405141283926836,0.1878409002477252,2322,1.0,False
8,0.00015,16,-0.18428896664822525,0.9135258077501675,-2.641161385155528,0.18788543525036375,2322,1.0,False
8,0.0002,16,-0.18428896664822525,0.9135258077501675,-2.641161385155528,0.18788543525036375,2322,1.0,False
12,0.00025,16,-0.19797819083297763,0.9064021680215754,-2.872909674435885,0.19909898546275656,2316,1.0,False
12,0.0002,16,-0.198298207354079,0.9062355789808172,-2.8781631614541525,0.1994185547730777,2316,1.0,False
12,0.00015,16,-0.198298207354079,0.9062355789808172,-2.8781631614541525,0.1994185547730777,2316,1.0,False
8,0.00025,12,-0.16948257437965764,0.8949031389960262,-2.826308344694884,0.17297063615434569,2322,1.0,False
8,0.0002,12,-0.16952243590033833,0.8948807209374489,-2.8269859552351613,0.17301033026198537,2322,1.0,True
8,0.00015,12,-0.16952243590033833,0.8948807209374489,-2.8269859552351613,0.17301033026198537,2322,1.0,False
12,0.00025,12,-0.17761529694489864,0.8893065334868916,-2.9979835331149243,0.1793699322258185,2316,1.0,False
12,0.00015,12,-0.17794363172840388,0.8890852638427437,-3.004172532488254,0.17969756647611668,2316,1.0,False
12,0.0002,12,-0.17794363172840388,0.8890852638427437,-3.004172532488254,0.17969756647611668,2316,1.0,False
4,0.00015,12,-0.17925305592909413,0.8876994124144626,-2.9920996386249534,0.18070615723093375,2324,1.0,False
4,0.0002,12,-0.18212840793590057,0.8857915972288478,-3.0457034634935165,0.18357641853618534,2324,1.0,False
4,0.00025,12,-0.182461136419665,0.8855605155530616,-3.052352056683998,0.1839085579368025,2324,1.0,False
4,0.00015,10,-0.18885516394935997,0.858593334880809,-3.4486788864631293,0.18921876636983484,2324,1.0,False
4,0.0002,10,-0.19143989218931523,0.8566237184358134,-3.501102925213449,0.19180233598385482,2324,1.0,False
4,0.00025,10,-0.19172618627658244,0.8563811000623041,-3.507094964139089,0.1920885017374158,2324,1.0,False
12,0.00015,10,-0.19330310496468384,0.8548516057589834,-3.6867332540510187,0.19379056132273575,2316,1.0,False
12,0.0002,10,-0.19330310496468384,0.8548516057589834,-3.6867332540510187,0.19379056132273575,2316,1.0,False
12,0.00025,10,-0.19352764879683326,0.8547104886381296,-3.6912111483683168,0.19401496947155808,2316,1.0,False
8,0.0002,10,-0.19725442825903905,0.8529453398846292,-3.6774863902500945,0.1977394969821884,2322,1.0,False
8,0.00015,10,-0.19725442825903905,0.8529453398846292,-3.6774863902500945,0.1977394969821884,2322,1.0,False
8,0.00025,10,-0.19757992035978633,0.8527098063941004,-3.684163146556541,0.19806479240039587,2322,1.0,False
