n_trades,cum_ret,max_dd,profit_factor,win_rate,avg_trade_pips,config,hold_bars
92,0.025889,0.000804,7.7125,0.5761,2.78,baseline,1
86,0.025156,0.000613,8.2814,0.593,2.89,no_cpi_up,1
46,0.010639,0.000507,6.1974,0.5652,2.3,high_vol,1
92,0.01046,0.005988,1.4111,0.5,1.14,baseline,3
86,0.013333,0.006003,1.6484,0.5116,1.54,no_cpi_up,3
46,0.01444,0.001713,2.8396,0.5652,3.12,high_vol,3
92,0.015227,0.013012,1.3883,0.5109,1.65,baseline,6
86,0.022465,0.011893,1.711,0.5349,2.59,no_cpi_up,6
46,0.016137,0.003474,2.0913,0.5435,3.49,high_vol,6
92,-0.017924,0.028189,0.783,0.4891,-1.94,baseline,12
86,-0.008952,0.021053,0.88,0.5233,-1.02,no_cpi_up,12
46,0.001242,0.012708,1.0446,0.5217,0.29,high_vol,12
