event_name,n,mean_pip,median_pip,net_pip,hit_rate,reliable,window,momentum_signal,trend_label,vol_regime
BoE,12,1.43,1.02,-0.57,0.75,True,30-min T-6→T-1,,,
CPI,24,-0.42,-0.32,-2.42,0.4583,True,30-min T-6→T-1,,,
ECB,16,2.84,1.89,0.84,0.625,True,30-min T-6→T-1,,,
FOMC,16,-0.3,-0.66,-2.3,0.3125,True,30-min T-6→T-1,,,
NFP,24,0.98,0.78,-1.02,0.6667,True,30-min T-6→T-1,,,
BoE,12,-0.99,3.05,-2.99,0.5833,True,60-min T-12→T-1,,,
CPI,24,0.16,-0.2,-1.84,0.5,True,60-min T-12→T-1,,,
ECB,16,6.25,3.64,4.25,0.6875,True,60-min T-12→T-1,,,
FOMC,16,-1.01,-1.25,-3.01,0.375,True,60-min T-12→T-1,,,
NFP,24,0.95,2.53,-1.05,0.5833,True,60-min T-12→T-1,,,
BoE,7,1.68,1.12,-0.32,0.8571,True,momentum_signal,-1.0,,
CPI,10,-1.21,-0.64,-3.21,0.5,True,momentum_signal,-1.0,,
ECB,5,2.4,6.56,0.4,0.6,True,momentum_signal,-1.0,,
FOMC,8,0.72,-0.4,-1.28,0.375,True,momentum_signal,-1.0,,
NFP,9,0.53,0.34,-1.47,0.6667,True,momentum_signal,-1.0,,
CPI,1,22.12,22.12,20.12,1.0,False,momentum_signal,0.0,,
FOMC,1,3.49,3.49,1.49,1.0,False,momentum_signal,0.0,,
NFP,1,2.57,2.57,0.57,1.0,False,momentum_signal,0.0,,
BoE,5,1.09,0.93,-0.91,0.6,True,momentum_signal,1.0,,
CPI,13,-1.55,-0.46,-3.55,0.3846,True,momentum_signal,1.0,,
ECB,11,3.05,1.73,1.05,0.6364,True,momentum_signal,1.0,,
FOMC,7,-2.02,-2.34,-4.02,0.1429,True,momentum_signal,1.0,,
NFP,14,1.16,1.13,-0.84,0.6429,True,momentum_signal,1.0,,
BoE,7,1.33,0.45,-0.67,0.7143,True,by_trend,,down,
CPI,10,2.52,2.76,0.52,0.6,True,by_trend,,down,
ECB,8,5.1,6.16,3.1,0.875,True,by_trend,,down,
FOMC,8,-1.51,-2.41,-3.51,0.25,True,by_trend,,down,
NFP,14,0.28,1.1,-1.72,0.7857,True,by_trend,,down,
BoE,5,1.57,1.31,-0.43,0.8,True,by_trend,,up,
CPI,14,-2.53,-0.49,-4.53,0.3571,True,by_trend,,up,
ECB,8,0.59,-2.99,-1.41,0.375,True,by_trend,,up,
FOMC,8,0.9,-0.3,-1.1,0.375,True,by_trend,,up,
NFP,10,1.97,-0.27,-0.03,0.5,True,by_trend,,up,
BoE,8,1.44,0.69,-0.56,0.625,True,by_vol,,,high_vol
CPI,11,1.49,2.55,-0.51,0.6364,True,by_vol,,,high_vol
ECB,10,3.67,3.75,1.67,0.7,True,by_vol,,,high_vol
FOMC,11,0.33,-0.62,-1.67,0.3636,True,by_vol,,,high_vol
NFP,6,0.85,-3.3,-1.15,0.5,True,by_vol,,,high_vol
BoE,4,1.41,1.21,-0.59,1.0,False,by_vol,,,low_vol
CPI,13,-2.04,-0.52,-4.04,0.3077,True,by_vol,,,low_vol
ECB,6,1.46,0.43,-0.54,0.5,True,by_vol,,,low_vol
FOMC,5,-1.7,-2.34,-3.7,0.2,True,by_vol,,,low_vol
NFP,18,1.03,1.1,-0.97,0.7222,True,by_vol,,,low_vol
