event_name,country,event_time_utc,bar_time_utc,bar_lag_min,close_at_T,ret_6_to_1,ret_12_to_1,ret_12_to_6,drift_dir_6,drift_dir_12,momentum_signal,pre_vol,trend_label,trend_strength
CPI,US,2024-01-11 13:30:00+00:00,2024-01-11 13:30:00+00:00,0.0,1.09657,0.0002549139210311595,0.0005281802369526049,0.0002731966742859905,1,1,1,0.00020063189782773257,up,0.0033514814791117953
NFP,US,2024-01-05 13:30:00+00:00,2024-01-05 13:30:00+00:00,0.0,1.08976,0.00010074736225092917,0.00035728681886464363,0.00025651361354376846,1,1,1,0.00014812348517889175,down,-0.0012108028800136283
FOMC,US,2024-01-31 19:00:00+00:00,2024-01-31 19:00:00+00:00,0.0,1.08245,-0.00024888233396321377,-0.000322601458158453,-7.373747615040414e-05,-1,-1,-1,0.0002432159551856495,down,-0.0043194539048360125
ECB,EU,2024-01-25 13:45:00+00:00,2024-01-25 13:45:00+00:00,0.0,1.0885,-0.00011935365405799072,-6.42708926308964e-05,5.508933654071009e-05,-1,-1,1,0.00015523751026517112,up,0.00034789734352247415
BoE,UK,2024-02-01 12:00:00+00:00,2024-02-01 12:00:00+00:00,0.0,1.08096,0.00024061375015031598,0.0011300376987986391,0.0008892099924973574,1,1,1,0.00022449320544746555,down,-0.0014034290233557734
CPI,US,2024-02-13 13:30:00+00:00,2024-02-13 13:30:00+00:00,0.0,1.07297,0.0003151620767327027,0.0008346858335266617,0.0005193600741944039,1,1,1,0.0002088625389726381,down,-0.0037425481053005027
NFP,US,2024-02-02 13:30:00+00:00,2024-02-02 13:30:00+00:00,0.0,1.08222,0.0002573245597912528,0.0002573245597912528,0.0,1,1,0,0.00015311915181073237,down,-0.004957293367960358
FOMC,US,2024-03-20 18:00:00+00:00,2024-03-20 18:00:00+00:00,0.0,1.08845,3.681851234784101e-05,0.00045121367269501585,0.0004143799034955813,1,1,1,9.4489663560086e-05,up,0.0035911077157855242
ECB,EU,2024-03-07 13:45:00+00:00,2024-03-07 13:45:00+00:00,0.0,1.08756,-0.000477651424687096,-0.0013674366528087436,-0.0008902104384058234,-1,-1,-1,0.00012925439993501103,up,0.0028995691362869724
BoE,UK,2024-03-21 12:00:00+00:00,2024-03-21 12:00:00+00:00,0.0,1.09099,1.8332813903522632e-05,-0.0008517341490444068,-0.0008700510124646314,1,-1,-1,0.00018500469932941123,down,-0.0014012724871305116
CPI,US,2024-03-12 12:30:00+00:00,2024-03-12 12:30:00+00:00,0.0,1.09224,-4.572222831861582e-05,0.00014633923263359213,0.0001920702428317039,-1,1,1,0.00012178500365716826,up,0.0052078731112488175
NFP,US,2024-03-08 13:30:00+00:00,2024-03-08 13:30:00+00:00,0.0,1.09485,0.0005487520463877792,0.0006768808598215988,0.00012805854104736244,1,1,1,0.00018460792597127951,up,0.0015643705428292076
CPI,US,2024-04-10 12:30:00+00:00,2024-04-10 12:30:00+00:00,0.0,1.07906,0.0002854643399788503,1.8412137280811772e-05,-0.0002669759905730994,1,1,-1,0.00011701227203986031,down,-0.00023979046002886584
NFP,US,2024-04-05 12:30:00+00:00,2024-04-05 12:30:00+00:00,0.0,1.08105,0.0003228335562422843,0.0009229349330873207,0.0005999077065067277,1,1,1,0.00012189690765191566,down,-0.009914137720845706
FOMC,US,2024-05-01 18:00:00+00:00,2024-05-01 18:00:00+00:00,0.0,1.06929,-0.00034650683648621597,0.00018740102883183573,0.0005340929321703677,-1,1,1,0.00013558448016076497,down,-0.004755746953045037
ECB,EU,2024-04-11 13:45:00+00:00,2024-04-11 13:45:00+00:00,0.0,1.07358,-0.0005770770118578557,8.382463885564981e-05,0.0006612832620823796,-1,1,1,0.0005187823694847839,up,0.0008426571789710291
BoE,UK,2024-05-09 12:00:00+00:00,2024-05-09 12:00:00+00:00,0.0,1.0731,0.00013052517737441985,-0.00026094817382881614,-0.00039142226074322415,1,-1,-1,0.00013864264241907434,up,0.0038507465190873447
CPI,US,2024-05-15 12:30:00+00:00,2024-05-15 12:30:00+00:00,0.0,1.0857,-0.0004246127716136254,0.00014777597162716124,0.0005726318900547371,-1,1,1,0.00012884217255950442,down,-0.0014781470663249863
NFP,US,2024-05-03 12:30:00+00:00,2024-05-03 12:30:00+00:00,0.0,1.07988,0.00046527209111883505,0.0003442597020757757,-0.00012095611154010949,1,1,-1,0.00011954913091385586,up,0.004039382360038646
FOMC,US,2024-06-12 18:00:00+00:00,2024-06-12 18:00:00+00:00,0.0,1.08276,-1.8452397427651822e-05,-0.00031359817006244937,-0.0002951512188823896,-1,-1,-1,0.00021317473288582294,up,0.000645524364406791
ECB,EU,2024-06-06 13:45:00+00:00,2024-06-06 13:45:00+00:00,0.0,1.08865,0.0006803784375200784,9.188136278497475e-06,-0.0006707339483258273,1,1,-1,0.00040560487330594465,down,-0.006679798916635282
CPI,US,2024-06-12 12:30:00+00:00,2024-06-12 12:30:00+00:00,0.0,1.0817,-1.857631148771272e-05,0.0005948065949180969,0.00061339430100941,-1,1,1,0.00014182896920475002,up,0.007978446480633172
NFP,US,2024-06-07 12:30:00+00:00,2024-06-07 12:30:00+00:00,0.0,1.08407,-0.0001651694363134815,2.753354503567842e-05,0.0001927348152499527,-1,1,1,0.0001232244014095872,up,0.004295427256539863
FOMC,US,2024-07-31 18:00:00+00:00,2024-07-31 18:00:00+00:00,0.0,1.08103,0.0008235250573692145,0.0005457808366171471,-0.00027751567963607424,1,1,-1,0.00020523742465555197,up,0.001564178011042694
ECB,EU,2024-07-18 13:45:00+00:00,2024-07-18 13:45:00+00:00,0.0,1.09133,-0.0005860913203538288,-0.0013268789062857013,-0.0007412220097182236,-1,-1,-1,0.0001837329285758235,up,0.003224806087075427
BoE,UK,2024-08-01 12:00:00+00:00,2024-08-01 12:00:00+00:00,0.0,1.07906,9.267153501129572e-05,0.0003615161430863398,0.00026881969614116143,1,1,1,0.0002098324011522465,down,-0.0012721714777323978
CPI,US,2024-07-11 12:30:00+00:00,2024-07-11 12:30:00+00:00,0.0,1.08874,-0.0007645471209733573,-0.0002672638631608112,0.0004976637451961486,-1,-1,1,0.0001412302653498607,up,0.0003244235474189061
NFP,US,2024-07-05 12:30:00+00:00,2024-07-05 12:30:00+00:00,0.0,1.08261,0.00046206023417228104,0.0005082897436371832,4.620815851235927e-05,1,1,1,0.0001370711829448155,down,-0.0024126678930291856
CPI,US,2024-08-14 12:30:00+00:00,2024-08-14 12:30:00+00:00,0.0,1.1016,7.258210851012335e-05,-0.00019047791816709765,-0.00026304093461156243,1,-1,-1,0.00012237423538995657,up,0.009251689607848279
NFP,US,2024-08-02 12:30:00+00:00,2024-08-02 12:30:00+00:00,0.0,1.08572,-0.0003138007734266186,-0.00023998301658645108,7.384092818054108e-05,-1,-1,1,0.000199396809874768,up,0.004073460747396229
FOMC,US,2024-09-18 18:00:00+00:00,2024-09-18 18:00:00+00:00,0.0,1.11589,-0.00023365955802389344,-0.00014380342072381472,8.987713795240915e-05,-1,-1,1,0.00019957750802098245,down,-0.0012271132566070708
ECB,EU,2024-09-12 13:45:00+00:00,2024-09-12 13:45:00+00:00,0.0,1.10383,0.0001540427151387775,0.0009340455052461495,0.0007798826548657268,1,1,1,0.00021740825761783282,down,-0.0017559015788608523
CPI,US,2024-09-11 12:30:00+00:00,2024-09-11 12:30:00+00:00,0.0,1.10256,4.528329227637613e-05,-0.0007149321266968946,-0.0007601809954750696,1,-1,-1,0.00015850729285849088,up,0.0014786189880078293
NFP,US,2024-09-06 12:30:00+00:00,2024-09-06 12:30:00+00:00,0.0,1.11321,0.00012605571662677515,0.0002971821726717951,0.00017110488729583356,1,1,1,0.00014838715232263453,down,-0.0015894592242575722
FOMC,US,2024-11-07 19:00:00+00:00,2024-11-07 19:00:00+00:00,0.0,1.07756,-0.00010186316998190031,-9.261145789017682e-06,9.26114578895599e-05,-1,-1,1,0.0003269144100140555,up,0.0028644281524661253
ECB,EU,2024-10-17 13:45:00+00:00,2024-10-17 13:45:00+00:00,0.0,1.08229,0.0006559376212560637,-0.0013277151313424748,-0.0019823524530459963,1,-1,-1,0.000497912402409264,down,-0.00572673677602753
BoE,UK,2024-09-19 12:00:00+00:00,2024-09-19 12:00:00+00:00,0.0,1.11544,4.4812906116857244e-05,-0.0011369027903355244,-0.001181662742710831,1,-1,-1,0.00027650423322686014,down,-0.0018351037950606885
CPI,US,2024-10-10 12:30:00+00:00,2024-10-10 12:30:00+00:00,0.0,1.09448,-0.0001737794281741384,-0.00022864459484165124,-5.487470276198005e-05,-1,-1,-1,0.00013305941343748047,down,-0.002746094821255207
NFP,US,2024-10-04 12:30:00+00:00,2024-10-04 12:30:00+00:00,0.0,1.09769,5.44000580266823e-05,-0.0004440457095217006,-0.0004984186535447085,1,-1,-1,0.00011299042135393365,down,-0.0015627617257746307
CPI,US,2024-11-13 13:30:00+00:00,2024-11-13 13:30:00+00:00,0.0,1.06417,-0.000348094418258946,-0.00044213239513463446,-9.407072236906672e-05,-1,-1,-1,0.00033708910312100945,up,0.00010132173741683737
NFP,US,2024-11-01 13:30:00+00:00,2024-11-01 13:30:00+00:00,0.0,1.08735,-0.0009099013813957761,-0.0017998163452708556,-0.0008907254361799039,-1,-1,-1,0.00022431644591520652,up,0.0030374777305901546
FOMC,US,2024-12-18 19:00:00+00:00,2024-12-18 19:00:00+00:00,0.0,1.04339,-0.00033365427697125085,0.000983190309370936,0.001317284103817412,-1,1,1,0.00023916833867680594,down,-0.002722860633048607
ECB,EU,2024-12-12 13:45:00+00:00,2024-12-12 13:45:00+00:00,0.0,1.04963,0.0009251311397233337,-0.0004381244463917851,-0.0013619955616089095,1,-1,-1,0.00019550569197766032,down,-0.00016374776029981497
BoE,UK,2024-11-07 12:00:00+00:00,2024-11-07 12:00:00+00:00,0.0,1.07631,-5.576467307955666e-05,0.0004928582056240881,0.0005486534741852666,-1,1,1,0.0003341414535573963,down,-0.0028894591768841016
CPI,US,2024-12-11 13:30:00+00:00,2024-12-11 13:30:00+00:00,0.0,1.0514,0.0007805360950350698,0.0009615659243885063,0.00018088863924132682,1,1,1,0.0002896386135675537,down,-0.0026408190824654953
NFP,US,2024-12-06 13:30:00+00:00,2024-12-06 13:30:00+00:00,0.0,1.06143,9.449116507668443e-06,-0.00012282226673213735,-0.0001322701334039048,1,-1,-1,0.0002369312852956941,down,-0.009922338618886806
CPI,US,2025-01-15 13:30:00+00:00,2025-01-15 13:30:00+00:00,0.0,1.03403,0.0003301291387513418,-5.823546539837813e-05,-0.00038823643598947486,1,-1,-1,0.00021276707721289536,down,-0.004282915257727615
